username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
ojharbord,"HT: Chelsea with the possession, but very little to show for it. 0-0 at the break. #cfc https://t.co/dbiesYR7LE",2020-10-03 12:18:13,['cfc'],Chelsea FC correspondent for https://t.co/wCsmKxTDuE. Views are my own. #cfc #chelsea,London,27987,18882,2009-11-11 17:16:18,2
tyga_PB,"Chelsea vs Crystal Palace (ENGLISH COMMENTARY) 
@LiveMatch_HD_
#CHECRY #Livestream 

https://t.co/CpsWYHVl3A",2020-10-03 12:18:12,"['CHECRY', 'Livestream']","|| Media || @pressurebois ⚪ Social Media Strategist|| Echo || #Onehunnid ||
 •{| Associate Partner @rock3sixty |}• 
@amaarae 🌸
#MOsquad","Tema, Ghana",17529,30577,2018-07-14 13:57:47,4
Uche05316875,"41' Andrea Townsend sent in a lovely ball into the Chelsea area. Sako was up against Azplicueta in the air and there was only one winner and which was Sako but he couldn't hit the target with a tame header. No worries for quiet Mendy who's yet to be tested.

Chelsea 0-0 Palace.",2020-10-03 12:18:07,[],"My name is Uche, I'm from Abia state. I'm a Nigerian. I'm tall and easy going fellow. I love to learn and study. A football lover be it local or foreign.","Lagos, Nigeria.",171,2861,2019-12-01 17:57:08,0
kojokelmens,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:18:06,[],"Student | University Of Education, Winneba|","Kumasi, Ghana",8344,15806,2017-08-25 00:53:23,5570
kekeli_jr,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:18:06,[],|Humanity is all we got| |Fear is the god of the religious| |I'm a free thinker| |Africa is where my heart is🖤| |Phobia 🌈| |Man Utd🔴⚪⚫|,"Accra, Ghana",874,23100,2015-04-17 13:57:35,587
SiansRoom,This Chelsea palace first half is dry 🥱,2020-10-03 12:18:04,[],Head of Post 16 Girls Academy at Sutton United| Defender & Vice Captain - Millwall Lionesses | Tooting Bec Men’s First Team Coaching Team| FA Level 2 Student |,,1003,50273,2010-07-29 14:32:14,1
tayebwavicta,"The Eagles, Crystal Palace, will be heading into this game against Chelsea with a lot of confidence even though they suffered defeat in their last game against Everton.

What will be the outcome? 🤔

#EPLKuSanyuka #HomeOfSports #SanyukaUpdates",2020-10-03 12:18:04,[],"upcoming investigative journalist @nbstv
next media services

inspired by @solomonserwanjj",on earth,586,1059,2020-07-02 08:34:54,7
Uzorahanotu,Crystal Palace and haram football https://t.co/Bn8BRjFiKC,2020-10-03 12:17:59,[],I am not moved by tears nor touched by lamentations,In a better Nigeria,4080,273988,2010-09-14 14:29:48,0
Don_Sanzmoros,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:59,[],"Since 97'. 🇫🇷 


✞ R.i.p tío. ⁷","Monterrey, Nuevo León",580,78014,2018-05-08 17:14:26,5570
cameramayn,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:56,[],20. noob photographer and poet. sad as hell.,"Karachi, Pakistan",2602,136817,2015-08-05 17:13:30,5570
KingEbii,This is a very boring Crystal Palace derby.,2020-10-03 12:17:54,[],Entrepreneur•••Trust The Process••••@AUNigeria  @ICNbs Alum••✨,"Abuja, Nigeria",1559,169793,2011-07-20 15:08:11,0
KiggunduIan,"Chelsea vs Crystal Palace is underway from Stamford Bridge.

Who comes out on top? 🤔",2020-10-03 12:17:54,[],on the potter's wheel,Uganda,349,12336,2017-12-21 05:37:00,25
chris_chiwe,Palace is happy. Chelsea just haven't had enough invention to break the visitors down.,2020-10-03 12:17:52,[],Radio Producer| Video Editor| Fitness Fanatic| Whiskey lover 🥃. Bookings: e-mail chriskchiwe@gmail.com,Gaborone Botswana,1328,11263,2013-01-06 18:34:01,0
OptusSport,"Frank Lampard keeps Kepa on the bench for his 26th birthday 🥳

Chelsea v Palace LIVE | https://t.co/EkwrKazksU

#PL #CHECRY #OptusSport https://t.co/G9Aydgn8Uc",2020-10-03 12:17:52,"['PL', 'CHECRY', 'OptusSport']","Home of Premier League; UEFA Champions League, Europa League, Nations League, Euro 2020; FA Women's Super League; J.League; FIFA Club World Cup; K-League",Australia,44541,55619,2015-11-11 01:45:47,2
___Maryorwah___,"Havertz finds Werner in space on the left just inside the Palace box after a brilliant run, but the German's subsequent strike is straight at Guaita, who collects comfortably. 

🔵 0-0 🦅 [20'] #CHECRY",2020-10-03 12:17:48,[],"6'0 |
👑MAYOR OF JABU✨💝 |
Award winning Bathroom singer and Bedroom Stuntman| @fikayotomori_ Stan | @ChelseaFC 💙💙 |@symplysimi #SimiArmy | #CuppyDat","Lagos, Nigeria",2947,8209,2015-09-16 00:00:46,185
keith_lisenbee,Huge stakes on this Chelsea-Palace game. Winner gets sole permission to wear Chelsea's Third Strip for rest of the season https://t.co/C0ndHYRpaT,2020-10-03 12:17:48,[],"President and Founder, Atlas Behavioral Health Consulting, Inc.; Contributor, @PlayingFor90 on the @FanSided Network","Atlanta, GA",264,12003,2009-03-21 22:23:32,30
mayowa_olaopa,"Chelsea vs Crystal Palace (ENGLISH COMMENTARY) 
@5ve_k_
#CHECRY #Livestream 
https://t.co/M3c0NMrKS3",2020-10-03 12:17:46,"['CHECRY', 'Livestream']","young and talented 
singer, songwriter",,1576,224,2016-04-30 21:55:57,194
Topthre3C,"⚽⚽⚽
English Premier league

 -🇬🇧 Chelsea Vs Crystal Palace over 2.5

2U

#sportbetting  #FreePicks  #soccerbetting #GamblingTwitter 
#tipthre3spick #soccerpicks https://t.co/3JzSaPz3rA",2020-10-03 12:17:46,"['sportbetting', 'FreePicks', 'soccerbetting', 'GamblingTwitter', 'tipthre3spick', 'soccerpicks']","Never charge for picks.
Always attach with betting slips.
No VIP bullshit, No $20 for picks.

1U = 50 Max = 5U
#gamblingtwitter
#freepicks","New York, USA",37,131,2020-09-24 00:59:11,0
LiveMatch_HD_,"Chelsea vs Crystal Palace (ENGLISH COMMENTARY) 
@LiveMatch_HD_
#CHECRY #Livestream 

https://t.co/CpsWYHVl3A",2020-10-03 12:17:46,"['CHECRY', 'Livestream']","Watch All Live Matches Here 👇



📺📺📺📺📺📺📺📺📺📺📺 @LiveMatch_HD_",,1097,431,2020-07-20 19:49:36,4
Citywide45,Huge stakes on this Chelsea-Palace game. Winner gets sole permission to wear Chelsea's Third Strip for rest of the season https://t.co/C0ndHYRpaT,2020-10-03 12:17:45,[],"The essence of the independent mind lies not in what it thinks, but in how it thinks. - Christopher Hitchens",#KTBFFH #UpTheChels,473,107401,2016-08-07 21:37:03,30
Ace_Abdulbasit,"GIVEAWAY: If Timo Werner scores first against Crystal Palace today, we'll giveaway ANY brand new Premier League shirt of your choice. 

Simply RT and follow us @FootbalIhub to enter. ✅🔁 https://t.co/k3EDpHQJkl",2020-10-03 12:17:44,[],"QURAN 3:102. 📖📖📖
 A Change maker.🥇🥇🥇
An optimist.👌👌👌
@swiparNg
Coding is a new language.👨‍💻👨‍💻👨‍💻","ilorin,kwara state",130,277,2016-09-19 21:36:13,557
_willi3,Chelsea lack some urgency just moving the ball around and playing right in into palace's plans.,2020-10-03 12:17:42,[],Human. Armchair analyst. LFC,Liverpool Country ,1556,139168,2012-01-27 23:37:29,0
demy4L,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:42,[],,🛸,1089,5264,2016-04-04 18:25:54,5570
dialcalo10,"Planet Stream Live Stream
Chelsea vs Crystal Palace
 Live Match

broadcast 1. https://t.co/ytGnSga6sC

broadcast2. https://t.co/ytGnSga6sC

broadcast3. https://t.co/ytGnSga6sC
   #CHECRY #CFC",2020-10-03 12:17:41,"['CHECRY', 'CFC']",,,4,15,2011-10-29 01:01:02,0
AsiamahDesmon11,"Were Crystal Palace playing mind games with Chelsea before kick-off? 👀 #CHECRY #CFC #CPFC

https://t.co/xy9iE6ED5m",2020-10-03 12:17:41,"['CHECRY', 'CFC', 'CPFC']",SPORTS JOURNALIST,,8,584,2020-09-27 17:38:49,4
_dzarkwei,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:40,[],〽️,,35,14,2020-09-13 15:41:39,5570
therookiegod,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:37,[],,"Rhode Island, USA",613,39673,2011-04-22 20:32:41,5570
