username,text,tweetcreatedts,hashtags,retweetcount,likecount,acctdesc,location,followers,totaltweets,usercreatedts
khuntianmos,"Man Utd 🆚 Spurs is here 😍

All the action 👉 https://t.co/qJPQa9Mv2m 

#MUNTOT https://t.co/ifjpNMXKm5",2020-10-04 15:31:10,['MUNTOT'],93,0,(福),Naresuan university,1681,52403,2012-01-06 07:47:39
zachvogl,"🚨 Here's how we line up to take on Spurs this afternoon! 📋

#MUFC #MUNTOT",2020-10-04 15:31:10,"['MUFC', 'MUNTOT']",4656,0,Football. Cat. Beer. Devils lettuce. Vegan. #MUFC #DTD,United States,777,12817,2008-12-19 02:51:30
TalkingTHFC,Hilarious. 30 seconds in. #MUNTOT,2020-10-04 15:31:10,['MUNTOT'],20,307,"Journalist covering Tottenham Hotspur | Columnist and Podcasts for @talkSPORT | Daily #THFC Updates, Player Interviews and LIVE Match Coverage. #COYS",talkingthfc.enquiries@live.com,85536,54549,2012-01-04 14:49:38
Capello_Mamba,The fee for Alex Telles to #mufc is €15m plus add ons. Paperwork to be signed in the next few hours #mulive [@FabrizioRomano],2020-10-04 15:31:09,"['mufc', 'mulive']",529,0,"If you know, you know 💯",Nairobi-Kenya,341,15609,2015-03-25 23:21:17
BelvidereBoys,We have a beautiful week to look forward to!! Happy Sunday and hope you’re watching some ⚽️⚽️⚽️ #MUFC or #Spurs ??🤔🤔 https://t.co/W9PXWGfKxC,2020-10-04 15:31:09,"['MUFC', 'Spurs']",0,2,Belvidere boys soccer page. Score updates-player updates-important info.,,22,133,2020-07-07 18:42:17
SanchoMagnifico,PENALTY!!! #MANTOT #MUFC #ManUnited #MULIVE,2020-10-04 15:31:09,"['MANTOT', 'MUFC', 'ManUnited', 'MULIVE']",0,0,Football | Man United | Jadon Sancho Email for enquiries: jadonsanchomaximo@gmail.com 18+ | Fan Account | Follow for a follow back,,39,325,2020-08-06 16:21:24
Timothy52864963,#MUNTOT Penalty to United and only 1 minute gone!,2020-10-04 15:31:09,['MUNTOT'],0,0,"I'm paid to banter everyone. 

Alright, I am not paid.",,8,1216,2020-07-22 16:19:00
ChristAndree,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:09,[],23283,0,,"Tangerang, Indonesia",256,30271,2011-02-15 10:30:35
__nherd,"Come on Guys
#GGMU 
#MUFC",2020-10-04 15:31:09,"['GGMU', 'MUFC']",0,0,"sometimes I wonder wtf I am.
Problems I got several just like you.

Don't underestimate the gram👔","Lakeside, AC",527,415,2020-07-29 15:03:45
Ehijezy,Penalty yes 🙂🙂🙂 #MUNTOT,2020-10-04 15:31:09,['MUNTOT'],0,0,"Loyal, Calm & God Fearing | @ManU Supporter | #WizkidFc | Practically your everyday cool guy | God bless 🇳🇬",🇳🇬🇨🇦🙏🏻,2591,12401,2015-01-30 08:28:42
charliefellows_,"⚽ 9
🅰 8

Bruno Fernandes has been involved in 17 goals in his 16 Premier League games for Man Utd.

#MUNTOT build-up
👉 https://t.co/CCgbtCzOrO
#bbcfootball https://t.co/NdDvWkk5Rl",2020-10-04 15:31:08,['MUNTOT'],7,0,20 . Coventry . Presenter @radiopluscov . @coventry_city #PUSB,Coventry,573,316608,2013-12-20 21:14:42
neke_k9,Let's do this. #MUFC https://t.co/V2y8h01qGn,2020-10-04 15:31:08,['MUFC'],0,0,i just tweet dawg,Mi niko tu,2143,16768,2018-12-08 09:20:20
ZombieJester,"Telles and Cavani now done,  #MUFC will have one final push to see if they can finally sign Jadon Sancho in the next 24 hours.",2020-10-04 15:31:08,['MUFC'],432,0,💼 Senior Digital Manager For Some Very Funny People -💍@zombiejenn - 🐶 #RooneyBulldog - #MUFC Supporter & Shareholder - #MiniPainting - 🎃365,"Lake Forest, CA",1542,77874,2008-11-16 21:41:52
mamax_greenwood,"C’mon United 💪🏼💪🏼💪🏼
#MUNTOT",2020-10-04 15:31:08,['MUNTOT'],0,0,"BLACK LIVES MATTER | Mason, Marcus, Martial | Giggs, Scholes, Rooney",Vaucanson,293,15567,2012-09-10 22:04:23
LastWordFC,"MANCHESTER UNITED FANS! 

Be a part of United’s season and beyond

WRITE FOR US AT @LastWordFC 

Check out the link and slides below for info

https://t.co/q4NnNg6EuX

#MUFC #lwos #ManchesterUnited #EPL #PremierLeague #MUFC_FAMILY #journojobs #journalism #MUNTOT #supersunday https://t.co/S0ptX4xtMI",2020-10-04 15:31:08,[],2,0,Home for coverage of the beautiful game. Part of the #LWOS network. @lwofarsenal @lwofmancity @lwofmanunited @lwofchelsea @lwofliverpool @lwofspurs @lwofEFL,World,6927,14815,2014-03-25 01:15:30
ThomasDeb07,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:08,[],23283,0,🎾,"Montigny-en-Gohelle, France",215,6726,2019-03-12 21:02:00
petanikiri,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:08,"['MUFC', 'MUNTOT']",262,0,,"Medan, Sumatera",372,1221,2015-06-23 19:00:34
its_wasp,Come on United! #mufc,2020-10-04 15:31:08,['mufc'],0,0,#CDLM 'till death💙 | Literata. Lectora y escritora. | Deportista innata y música frustrada. Vegana. 🌱,Yoknapatawpha ,464,22756,2009-06-30 23:15:50
BeckyNCKFan,PEN ALREADY #MUNTOT,2020-10-04 15:31:08,['MUNTOT'],0,0,multi-fandom #ProudOfMel BTS gifs from Season Passes/SYFY she/her,United Kingdom ,4031,171176,2011-02-17 18:21:34
Penny_zt,"Ready for battle.

#MUFC #MUNTOT https://t.co/sT2pW9oHmi",2020-10-04 15:31:07,"['MUFC', 'MUNTOT']",757,0,kacha Ztao xiaozhan TaoHun Jark bjyx  AllTen,,331,174412,2012-03-22 14:06:52
stephanieekp,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:07,[],23283,0,"Food and Soccer lover, IG: iamstephanie_e #MUFC","Delta, Nigeria",28,11,2014-03-23 08:13:55
AmirulAzahan,#MUNTOT Let's go!,2020-10-04 15:31:07,['MUNTOT'],1,1,,,856,935,2010-05-31 07:55:27
standardsport,"KO: We are under way at Old Trafford!

Follow #MUNTOT LIVE with @jamesrobsonES and @Matt_Davies95...

https://t.co/koHU8Z1UwB",2020-10-04 15:31:07,['MUNTOT'],0,0,"Latest sports news, views and live football from the @EveningStandard.","London, England",40852,173167,2009-05-06 08:49:47
Ridwan_DS,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:07,[],23283,0,Nothing Special.,"Banyumas, Indonesia",382,50024,2010-05-07 02:32:52
ManUtdInPidgin,"PENALTY!!!!!!!! 

#MUFC #GGMU 🔴⚫️ #MUNTOT",2020-10-04 15:31:07,"['MUFC', 'GGMU', 'MUNTOT']",3,36,"#MUFC News in Pidgin. Follow us Now! 📩 info@manutdinpidgin.com, @MuipFPL Gold #TakeYourThrone","Lagos, Nigeria",77477,101356,2015-08-06 22:43:56
StrettyNews,PENALTY #MUFC!,2020-10-04 15:31:07,['MUFC'],0,13,"Independent Manchester United website | #MUFC news, updates, opinions, photos & videos | Podcast @Strettycast | Get in touch via 📧 dale@strettynews.com",,56200,108380,2010-06-26 04:21:38
tamtotwit,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:07,[],23283,0,still learning.,Singapore ,411,74297,2011-11-14 08:38:49
arsenalconnect1,@UnitedStandMUFC I will take a draw  #MUNTOT https://t.co/1rLsOlIKaR,2020-10-04 15:31:07,['MUNTOT'],0,0,Personal Arsenal blog. Views are my own. Visit my blog for real Arsenal content. https://t.co/J73vLHhA6N,,57,2064,2020-09-03 21:51:07
SigurdKC,Alex Telles to #mufc is a done deal. The clubs have reached an agreement for €20m. He will have his medical tonight #mulive [@SkySportNewsHD],2020-10-04 15:31:07,"['mufc', 'mulive']",2817,0,Oslo - Huge interest in Man United (and Rosenborg),Norge,305,15484,2016-11-24 15:18:25
P77Official,KICK OFF #MUNTOT #GGMU #THFC,2020-10-04 15:31:07,"['MUNTOT', 'GGMU', 'THFC']",0,0,Premium77 adalah situs taruhan online untuk semua orang di dunia. Bertaruh dengan Bertanggung Jawab. 18+,,24,71,2018-09-25 02:19:34
ConorCoen,"Been looking forward to this game , come on United #utfr #mufc",2020-10-04 15:31:07,"['utfr', 'mufc']",0,2,"The Bronx via Tipperary Ireland.
Birding in the Bronx 📷
,#NYMets #ManchesterUnited #Nikon #CHD ❤️
Photography","Pelham Bay , Bronx NYC",555,21496,2009-10-09 00:35:32
egg_bisquick,"1 - We're underway at Old Trafford.

𝗖𝗢𝗠𝗘 𝗢𝗡 𝗬𝗢𝗨 𝗦𝗣𝗨𝗥𝗦! 

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:31:07,"['MUFC', 'THFC']",92,0,"A Living... Breathing... Human Being
👽",,31,3525,2018-01-25 10:43:09
PreserveTheKing,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:07,"['MUFC', 'MUNTOT']",262,0,MJ 👑 | @ManUtd & @England fan ⚽️ | #GlazersOutWoodwardOut 🔰,"
",731,34560,2011-08-23 14:17:12
adaabee,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:06,"['MUFC', 'MUNTOT']",262,0,"Don’t stress me, Just follow me. @Manutd ❤️,  I love my cars @Mercedesbenz x @Bmw ❤️","Lagos, Nigeria",1048,24034,2013-12-16 12:46:01
PLFantasyNepal,Penalty to Man United. #MUNTOT,2020-10-04 15:31:06,['MUNTOT'],0,2,"A mini Fantasy League from Nepal. Registration closed, DM for more details.",Nepal,1133,4969,2018-07-13 15:31:32
Silasmutiti,"Degea because of his sallary at @ManUtd he cant afford to miss a game,while Handerson is rotting on the bench even after proving to Ole he can do better😂😂 easy win for Tottenham,why cant he follow Lampard example at Chelsea #MUNTOT",2020-10-04 15:31:06,['MUNTOT'],0,1,FEAR NOT/BORN AGAIN/www.facebook.com/NiSilas /Media Personality/Head Of Sports(Sports Is my Business) @ghettofmke//You Become What You Say/God Loves Us All #CFC,Kenya,9109,57729,2013-10-05 09:25:02
Vashosr,"Man Utd 🆚 Spurs is here 😍

All the action 👉 https://t.co/qJPQa9Mv2m 

#MUNTOT https://t.co/ifjpNMXKm5",2020-10-04 15:31:06,['MUNTOT'],93,0,"#RIJF Mom, IG Snapchat, Vashosr #Team #Chelsea We Should #Rise By Lifting Others talk2srm@gmail.com",Katsina Nigeria,1451,123633,2011-04-13 16:19:22
Naveen_R_Joseph,"#LukeShaw has played 10,957 minutes for #MUFC in all competitions in six seasons
To put things into perspective, #Robertson has played 11,522 minutes for #Liverpool having played three seasons fewer. 
#Transfers #Telles #AlexTelles 
Much needed signing for @ManUtd",2020-10-04 15:31:06,"['LukeShaw', 'MUFC', 'Robertson', 'Liverpool', 'Transfers', 'Telles', 'AlexTelles']",0,0,"Content Writer, Video Producer and Copywriter","Cochin, India",186,641,2011-02-26 09:21:29
LutendoKhoromm2,"Man Utd 🆚 Spurs is here 😍

All the action 👉 https://t.co/qJPQa9Mv2m 

#MUNTOT https://t.co/ifjpNMXKm5",2020-10-04 15:31:06,['MUNTOT'],93,0,"Create in me a pure heart and let me be a man of true integrity, moral and honor. Australian adoptee 🇦🇺","Sydney, New South Wales",6769,86258,2018-06-02 08:57:31
LOYAL_CFC,It’s not even been a minute.... #MUNTOT,2020-10-04 15:31:06,['MUNTOT'],0,0,London’s Pride,"London, England",9,147,2020-09-07 14:19:39
ManUtdjournal,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:06,"['MUFC', 'MUNTOT']",262,0,#MUFC #GlazersOut,Old Trafford,265,1794,2019-08-03 23:23:32
andrew_wall,Yes penalty! #MUFC 🇾🇪,2020-10-04 15:31:06,['MUFC'],0,0,"🇾🇪 | @ManUtd Fan & Season Ticket Holder.
📝 | Contributor / Writer for @StretfordPaddck & @TheUnitedDevils.
📸 | IG: andrewcwall
#MUFC","West Midlands, England",844,6164,2009-10-25 16:18:20
_TalkFootballl,"We are underway

 #MUNTOT",2020-10-04 15:31:06,['MUNTOT'],0,0,Match analysis🎙️. Football News📖. Match Predictions🤔. Football Banters😂. Transfer news💰. Everything Football⚽,Port-harcourt ,49,216,2020-09-20 10:19:55
fabien_fichaux,Alex Telles was about to fly to Brazil for international duty before a deal was struck between #mufc and FC Porto #mullive [@JBurtTelegraph],2020-10-04 15:31:06,"['mufc', 'mullive']",230,0,"25 ans Livetweeteur de KohLanta et Matchs de foots (Ligue 1 et Equipe de France) https://t.co/RfNwf1xRwo
Très humouristique parfois ^^","Jeumont, France",1182,147577,2017-03-28 20:05:56
LastWordFC,"Spurs fans!!!

We are looking for new writers

Write for us at @LastWordFC and be a part of the new season

No experience required 

Earn £££

Check the link and slides for info

https://t.co/9yD8M2xsVD

#epl #COYS #THFC #TottenhamHotspurFC #Spurs #lwos #MUNTOT #journojobs https://t.co/SKfDEqVLLh",2020-10-04 15:31:06,[],3,0,Home for coverage of the beautiful game. Part of the #LWOS network. @lwofarsenal @lwofmancity @lwofmanunited @lwofchelsea @lwofliverpool @lwofspurs @lwofEFL,World,6927,14815,2014-03-25 01:15:30
dollarmilli,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:06,[],23283,0,patience is a virtue.,"London, England",630,8106,2012-07-27 21:50:16
Harrdonnn,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:06,"['MUFC', 'MUNTOT']",262,0,"MD… 
Die hard Arsenal fan⚽
Messi Stan 🐐","Ilorin, Nigeria",4314,49291,2014-03-30 22:27:14
24ROYALS,"2-1 utd
martial, rashford
son #mufc",2020-10-04 15:31:05,['mufc'],0,0,,,93,42,2014-11-01 13:03:34
RossWynne16,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:05,"['MUFC', 'MUNTOT']",262,0,Manchester United 🇾🇪 #GoPackGo,"Offaly, Ireland",559,69028,2012-07-31 21:18:09
Ikmalhakim98,Final fee for Alex Telles will be around €15m with add ons. Porto have accepted also because the player forced the move - he only wanted to join Manchester United 🔴 #MUFC &gt; https://t.co/aI0OImt6s7,2020-10-04 15:31:05,[],3316,0,Cheers to another year of living,,1060,63658,2010-11-13 09:04:39
Shawnkimli,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:05,[],23283,0,"Infinix brand moderator, internet geek, Man united",kampala,2238,12884,2011-11-18 20:43:02
OmarBadat6,#mufc have scheduled medicals for Edinson Cavani and Alex Telles at Carrington later today #mulive [men],2020-10-04 15:31:05,"['mufc', 'mulive']",1067,0,instagram : omarbadat44,,9,210,2020-08-31 21:30:34
TheTrevorDurham,"Come on you Spurs !!

#COYS #THFC  #MUNTOT",2020-10-04 15:31:05,"['COYS', 'THFC', 'MUNTOT']",0,0,"Born London, live Cardiff. Member of @Cardiff41Club, formerly of @CardiffRoundTbl. IFA. Spurs and Leyton Orient fan. Sci fi geek. Remainer. @UKLabour member.","Llandaff North, Cardiff",2406,14164,2009-02-02 21:56:04
CapitalNWNews,"PENALTY for United! Anthony Martial is brought down in the first minute...

#MUNTOT #CapitalReports",2020-10-04 15:31:05,"['MUNTOT', 'CapitalReports']",0,0,The news team for @CapitalManc and @CapLancashire. Tweet us your stories or e-mail northwest.news@global.com,"North West, England",4187,22750,2015-01-27 13:54:07
OgbeniBiodun,Final fee for Alex Telles will be around €15m with add ons. Porto have accepted also because the player forced the move - he only wanted to join Manchester United 🔴 #MUFC &gt; https://t.co/aI0OImt6s7,2020-10-04 15:31:05,[],3316,0,@warriors 🏀 #DubNation RT≠Endorsement -Jollof Rice Addict- CR7🐐,+234,7656,240509,2011-05-05 22:24:47
pocketskillions,"🤔 Guess the goal: #MUNTOT edition 👀

Scorer ______ ❓
Season ______ ❓

#MUFC https://t.co/CHf2RrfCWn",2020-10-04 15:31:05,"['MUNTOT', 'MUFC']",268,0,"You are your own God, don’t let any religion limit your power",,1253,37475,2014-10-12 20:01:43
lukenewton07,#mufc will have ‘one final push’ at signing Jadon Sancho before the deadline closes [@sampilger],2020-10-04 15:31:04,['mufc'],52,0,23 years old. Love football ⚽️ Lauren❤️ #MUFC,,19,9294,2019-10-09 12:59:59
joaoxotwod,"Under way at Old Trafford — come on United! 🔴⚪⚫

#MUFC #MUNTOT",2020-10-04 15:31:04,"['MUFC', 'MUNTOT']",262,0,@theweeknd,,633,42314,2016-03-06 16:25:09
wilzonez,"Patrice Evra on Van de Beek: ""I think every #mufc fan is disappointed because it has been three [Premier League] games, and he hasn't even started one game."" #mulive [sky]",2020-10-04 15:31:04,['mufc'],334,0,Passion is the key,Theatre of Dreams,406,71537,2009-05-20 20:21:32
her_sweet_son,We need this win... Let’s go!!!!!! 🔴 #MUNTOT #CuppyMUFC,2020-10-04 15:31:04,"['MUNTOT', 'CuppyMUFC']",1238,0,life is sweet nd bitter,,197,5013,2019-07-10 22:20:52
Saldikusuma162,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:04,[],23283,0,The Next President of Indonesia,Republic sulap,46,1384,2020-03-02 16:25:01
Yasinnn_____,Final fee for Alex Telles will be around €15m with add ons. Porto have accepted also because the player forced the move - he only wanted to join Manchester United 🔴 #MUFC &gt; https://t.co/aI0OImt6s7,2020-10-04 15:31:04,[],3316,0,https://t.co/aKvlb6Gy1j,🦁,316,52540,2011-07-17 13:40:21
LukeMG_17,PENALTY THE TRICKY REDSSSS AHHHHHH #MUFC,2020-10-04 15:31:04,['MUFC'],0,0,1999 #GlazersOut #WoodwardOut,Ireland,40,1846,2019-01-26 12:42:32
MC3377425,"First BIG test of the season

#MUNTOT

#GGMU",2020-10-04 15:31:04,"['MUNTOT', 'GGMU']",0,0,"Movies.
Music.
Games(Mostly FIFA and Halo).
VFX.
#GGMU.         

Discretions: Tweets may be in proper English or Singlish",Singapore,116,42231,2012-08-08 19:01:32
Ismailg79147298,"Son starts for Spurs!

#FPL #MUNTOT https://t.co/bJiKoh5J8s",2020-10-04 15:31:04,"['FPL', 'MUNTOT']",237,0,,,243,25362,2019-04-13 23:48:35
Elfideo_,Final fee for Alex Telles will be around €15m with add ons. Porto have accepted also because the player forced the move - he only wanted to join Manchester United 🔴 #MUFC &gt; https://t.co/aI0OImt6s7,2020-10-04 15:31:04,[],3316,0,"#Muslim #Entrepreneur #MUFC...I'm a Fearless, a Helpless but not a Hopeless Nigerian. We can flirt all day in the DM #HeartOfAking #MindOfAHustler 🇳🇬🇳🇬",الدُّنْيا,1715,55783,2013-11-17 20:08:19
mohsies,#mufc have scheduled medicals for Edinson Cavani and Alex Telles at Carrington later today #mulive [men],2020-10-04 15:31:04,"['mufc', 'mulive']",1067,0,"just myself,  ready to mingle and associate with the right kind of people. #Downtoearth #YNWA #Goalgetter #ICON","Lagos, Nigeria",2411,17436,2020-06-22 15:16:48
craidesmond,"Best of luck for the 2020/21 season, @DalotDiogo! 👍

#MUFC",2020-10-04 15:31:04,['MUFC'],1665,0,"Entrepreneur, Model, A&R    creative director: @wearcoach PR for @ghalibonawave SC:tinnyboydessy 📧:craidesmond@gmail.com IG:Craidesmond","Lekki, Nigeria",2152,16189,2012-10-26 12:01:55
osheylee,We need this win... Let’s go!!!!!! 🔴 #MUNTOT #CuppyMUFC,2020-10-04 15:31:03,"['MUNTOT', 'CuppyMUFC']",1238,0,It takes a lot to stay relevant!!! 💯🗣🇳🇬🇮🇹🇪🇺,Italy,18,463,2018-10-09 14:53:37
ozeirsuhaimi,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:03,[],23283,0,Suburban #MUFC,Nowhere,2819,60295,2011-03-15 15:51:14
Vesh108xxx,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:31:03,[],23283,0,"Too Alien 👽 For Earth 🌍 ; Too Human 🧘🏽‍♂️ For Outta Space 🌌|| Artist 🖍|| Don’t Act like I’m Ya Man, I’m Just A Fan 🥺","Johannesburg, South Africa",71,2363,2017-07-05 19:49:08
TrequartistaTM,Really pleased for Eric Bailly that he's back. #MUNTOT,2020-10-04 15:31:03,['MUNTOT'],0,0,"It’s better to burn out, than fade away. Fmr Hack🔥Flamethrower of opinion 👀 Offer an ounce of perception & pound of obscure. Boss Tragic. 🎸#BlackLivesMatter",Six Feet from The Edge,968,77086,2010-04-27 04:34:59
