username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
AdvertiserCPFC,"Goal. Jorginho makes it 3-0.

#CPFC 

https://t.co/tSSvUkOGqv",2020-10-03 13:08:56,['CPFC'],"All the latest Crystal Palace news, rumours and opinion from @Football_LDN #CPFC","London, England",11751,38761,2009-11-24 16:18:26,0
ikes_kobby,Let’s see if crystal Palace will make my day with the early kick off. Today di3 green nkwaoooo ✅✅✅✅✅,2020-10-03 13:08:55,[],"my handwriting is bad...I can't write a bio...I'm sorry🎲🎲

HALA MADRID  🔥🔥🔥🔥🔥🔥🔥🔥 



Sarknation 🔥🔥🔥🐐
😤😤😤😤😤😤
#OseikromTwitter","Kumasi, Ghana",8593,68126,2016-07-07 07:18:08,34
toolzdeyforyou,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:08:55,['CHECRY'],A babe called TooLz😘My favorite artist is Davido.I’m troublesome so bear with me😂I love God❤ ManU😍Dm is open for ads/campaign/trend|iCon😉,turn on my notification,72487,60726,2020-02-21 06:39:46,120
sportbible,"GOAL! Chelsea 3 - 0 Crystal Palace (Jorginho, pen)",2020-10-03 13:08:55,[],The Official SPORTbible. A Way Of Life. https://t.co/Oawhy0PHae,contact@sportbible.com,1390516,97933,2011-12-12 20:29:59,5
Independent,"GOAL! Jorginho makes it three from the spot!

#CFC 3-0 #CPFC 
https://t.co/Fu8omGpOyC https://t.co/WGIC9YyJsQ",2020-10-03 13:08:54,"['CFC', 'CPFC']","News, comment and features from The Independent. 

Try an ad-free experience with access to premium articles with our app: https://t.co/XGI8DtCR6B","London, England",3343002,1035190,2008-10-26 00:00:29,5
abbide,My favorite team lost to this spineless Crystal Palace at home. Sigh. 🤦‍♂🤦‍♂,2020-10-03 13:08:54,[],Civil Engineer - Project manager - Political and Entertainment enthusiast - Father - Husband. Ambidextrous. #ManchesterUnited,Lagos,1845,13507,2010-09-27 18:56:28,0
Myka_veli,"Manchester United conceded 3 at home to this Crystal Palace team, Chelsea put 3 past the same Crystal Palace. There are levels to this game of football mehn",2020-10-03 13:08:53,[],Highly Evolved Homo Sapien | 2pac and Chelsea fan | Rest In Peace Chuchu ❤️,In your head,5576,7995,2014-05-21 07:02:10,0
mudhaher6,"GOAL! Jorginho makes it three from the spot!

#CFC 3-0 #CPFC 
https://t.co/Fu8omGpOyC https://t.co/WGIC9YyJsQ",2020-10-03 13:08:53,"['CFC', 'CPFC']",محب للرياضة                          snap: mudhaher70.               instagram: mudhaher70.,"صحار, سلطنة عمان",227,153301,2016-10-03 14:17:26,5
Abubakar472,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:53,[],I'm who I am|MUFC Fan❣️,"Osun, Nigeria",1327,8480,2017-04-29 14:25:07,5571
ShamelessSalah,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:08:52,[],LFC,"Melbourne, Australia",1858,25519,2015-02-17 12:20:34,587
SkySportsPL,"GOAL!

Chelsea 3-0 Crystal Palace (Jorginho (pen), 78')",2020-10-03 13:08:52,[],The official account for the Sky Sports Premier League channel,London,5226503,179137,2012-07-24 09:18:08,51
Rowland_Garos,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:51,[],"Believe
Trust
Obey
#COYG",Downtown,1729,176628,2012-07-27 11:39:34,1329
israelgain_6,"GOAL! Kurt Zouma scores from Ben Chilwell's cross!

Chelsea 2-0 Crystal Palace #CHECRY https://t.co/xLxRoQHfMn",2020-10-03 13:08:51,['CHECRY'],#onGOD💫🙏,Nigeria 🇳🇬,2830,5003,2020-07-05 10:07:08,66
zwenis_,"Crystal Palace 3- 1 Man United 
Chelsea 3- 0 Crystal Palace 

Man United fans are you watching😂😂",2020-10-03 13:08:50,[],CEO of paperboss_gh🇬🇭||VFX|| Photoshop📸|| ||Photography Blogger||Music lover🎶|| August 2🎂 ||Stay Alive💫 Barcelona❤️💙 Please Sub My Youtube(Link👇🏾),Turn Post Notification On🔔,22129,34304,2018-04-22 07:59:10,14
Kaakour,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:50,[],,,3403,24190,2012-07-03 23:58:08,1329
daniel_frommars,wahala for who put crystal palace for W😂,2020-10-03 13:08:50,[],Versatile Identity.,mars,858,12429,2019-10-14 09:29:58,0
_AgeofReason,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:49,[],Capitalist.Reserved.Kenyan. #MCFC,Nyahururu,9,2077,2020-07-13 08:03:15,5571
BarryArsenal7,"Palace offered nothing in this game, easy for Chelsea .",2020-10-03 13:08:49,[],The 🅰️rsenal,"London, England",2027,39397,2012-01-18 23:00:46,0
EZRAwaCHELSKI,"Jorginho converts the penalty to make it 3-0 for Chelsea against Crystal Palace.

3-0

77'",2020-10-03 13:08:49,[],Welcome to Ezra tweets,I'm global,12221,269349,2011-02-23 18:57:55,0
Eldeporte_off,"76' Jorginho pen
Chelsea 3:0 Crystal Palace
#CHECRY",2020-10-03 13:08:49,['CHECRY'],"Welcome to EL DEPORTE! We bring you latest football stories,transfers,polls,stats and live scores!! WE BLEED FOOTBALL!! ⚽️ADD US on WhatsApp with the link⚽️","Lagos, Nigeria",466,2820,2019-01-03 09:47:38,0
Grreezywill,Crystal Palace will score one.,2020-10-03 13:08:49,[],😎😎,,980,46442,2020-02-09 14:05:31,0
_dr90210,Crystal palace useless sha,2020-10-03 13:08:48,[],A Lion 🦁 in this urban jungle ¡,valhalla,33890,109911,2018-08-06 15:43:57,0
Citywide45,"PENALTY 
https://t.co/Kty8wkF5HO",2020-10-03 13:08:48,[],"The essence of the independent mind lies not in what it thinks, but in how it thinks. - Christopher Hitchens",#KTBFFH #UpTheChels,473,107401,2016-08-07 21:37:03,3
habeeb_adesina,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:48,[],Allah first🤲💫|Student📚|Accountant🎓😊|Chelsea fan💙|TACHA😍❤️❤️__|DAVIDO🦁👑❤️_|CR7 🐐👑_|Titan🔱🔱.,"Ogun, Nigeria",387,57788,2016-03-25 18:56:14,1329
Aswanthg98,@UTDTrey Winning at home against Crystal Palace might not be for everyone,2020-10-03 13:08:47,[],,"Madras, OR",114,161,2015-10-10 15:30:24,0
tweetnewscom,"[LIVE: 2-0] Chelsea Crystal Palace LIVE: streaming, score, commentary
  ..
live link: https://t.co/iiYx6avraP    

#CPFC | #CHECRY  !",2020-10-03 13:08:47,"['CPFC', 'CHECRY']",#Crypto https://t.co/pQ3PmLYzbK,USA,90,476,2015-04-29 12:51:41,0
Abhi_ggmu,And we were humiliated by this Crystal Palace team. Lmao,2020-10-03 13:08:47,[],Man Utd till I die. Indian. Jack Daniel's. Views are of my own.,World ,1203,22518,2009-11-18 11:01:08,0
Arc_Abdoul_,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:08:46,['CHECRY'],"RT ≠ Endorsement |🏡Graduate Architect 
🌆💻3D Designs
#HalaMadrid
#Ex_Balewite '19
#TeamIslam BackUp Account @GhostArchitect",Arewa,23128,59868,2013-08-02 19:33:17,120
IndyFootball,"GOAL! Jorginho makes it three from the spot!

#CFC 3-0 #CPFC 
https://t.co/Fu8omGpOyC https://t.co/WGIC9YyJsQ",2020-10-03 13:08:46,"['CFC', 'CPFC']","Football news, comment and features. Facebook: https://t.co/XolVsnfDGz Instagram: https://t.co/9rU9kYKeIP",United Kingdom,99318,146569,2012-03-14 10:44:23,5
Mazi_paska,Shey na this Crystal Palace dey give Man Utd problems.,2020-10-03 13:08:46,[],"Laptop repair and maintenance, Laptop sales, phone and laptop accessories. 08080588820 old account @iam_paska",Awka,254,1622,2020-07-14 13:35:05,0
Abraham30046078,"Chelsea - Crystal Palace 3:0

More info: https://t.co/soVDyrLqcE https://t.co/9w60lpolSh",2020-10-03 13:08:46,[],"Honesty is my first name. Pls stay safe. Keep social distancing,  thank u.",Lagos,906,12103,2020-01-11 14:03:15,0
TRUCTHA47642393,"72: Second Palace sub. 

⬅️ McArthur 
➡️ Riedewald

🔵 2-0 🦅 

#CPFC | #CHECRY https://t.co/1xa91t6w8E",2020-10-03 13:08:46,"['CPFC', 'CHECRY']","CAN GIUOC, LONG AN, VIET NAM",,24,331,2020-08-20 02:44:00,31
CuriosidadesEU2,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:45,[],"@Curiosidades_PL, @CuriosidadesBRL e @CuriosidadePlus. Tudo sobre futebol europeu. Contato: https://t.co/SLnvCdNlge",,59469,36530,2017-03-01 23:55:59,11
aliyouzbashi,Chelsea 3-0 Crystal Palace #Chelsea💙,2020-10-03 13:08:45,['Chelsea'],Fc BayernMunich ♥ | عبدالله النابودة الرئيس الذهبي في تاريخ النادي الاهلي 93:18 ❤️,"Kuwait , المنصورية",671,63575,2011-01-22 13:17:54,0
afful_jatuk,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:44,[],"Loves basketball,music and writing",Ghana,254,7691,2018-06-17 15:59:06,1329
Holmesdale,3-0 Chelsea - Palace just not at the races today 🙁,2020-10-03 13:08:43,[],"https://t.co/mhqXtR01Xi is the Crystal Palace fans' source of news, views and features. iOS app available in the app store NOW! https://t.co/CrShjykpqb",South London,13700,58038,2009-02-24 19:02:11,0
ShrimpTshingy,crystal palace 😂💔,2020-10-03 13:08:43,[],IG: lydiebyart_ | filmmaker.,biscuit town.,11307,181104,2015-06-03 14:00:00,0
MrCufresaid,"Now Chelsea easily took a lead against Crystal Palace.

 I feel doubtful when it comes to United performance in the past against the similar team. How could easily De Gea been beaten😏",2020-10-03 13:08:43,[],My tweets doesn’t affects your life. Be cool,"Sabah, Malaysia",784,123184,2010-01-11 23:29:31,0
Tsharz,My team can never lose to Crystal Palace 🤭,2020-10-03 13:08:42,[],❤️,"Nairobi, Kenya",28289,228364,2011-11-04 07:16:10,1
Timelin80356108,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],,,34,4696,2020-08-13 02:54:34,11
Liam241283,"Chelsea's centre-backs have had more of the ball than anyone else but have made no effort to advance and help to drag Palace's block out of position. Just lots of slow sideways passes. Tomori and Rudiger are both quite good at this IMHO. They don't point enough though, obviously.",2020-10-03 13:08:42,[],,,219,17822,2009-04-22 10:26:55,57
FutJogo,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],,Brasil,22089,3975,2016-12-05 07:39:27,11
Futebo_lizando,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],,,2030,5045,2020-05-22 18:47:10,11
Fut__Moderno,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],,,4018,4810,2017-03-06 17:57:43,11
CuriosidadesEUR,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],"@CuriosidadesPRL, @CuriosidadesBRL. Notícias, estatísticas,curiosidades e dados históricos e atuais dos principais times da Europa.",Brasil,30072,30701,2016-12-02 16:37:09,11
CuriosidadesBL,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],"@Curiosidades_PL, @CuriosidadesEU e @CuriosidadePlus. Tudo sobre futebol brasileiro. Contato: https://t.co/SLnvCdNlge",Brasil,64752,51237,2017-01-15 00:57:32,11
Curiosidades_PL,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],"@CuriosidadesEU, @CuriosidadesBRL e @CuriosidadePlus. Tudo sobre futebol inglês. Contato: https://t.co/SLnvCdNlge",Brasil,102032,93778,2014-07-22 23:52:13,11
CuriosidadePlus,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:42,[],"@CuriosidadesPRL @CuriosidadesEU e @CuriosidadesBRL. Futebol alternativo, games e imprensa esportiva é aqui.",,41410,86904,2009-05-02 00:43:15,11
Football_LDN,"GOAL

Chelsea 3-0 Crystal Palace 
https://t.co/uQdAlvqZA1",2020-10-03 13:08:41,[],Comprehensive coverage of every football club in London.,"London, England",30375,70090,2016-12-02 09:29:19,0
MiskaP97,"GOAL!

Chelsea 1-0 Crystal Palace (Chilwell, 50')",2020-10-03 13:08:41,[],Metalhead & Hockey Freak 😜,Helsinki ,289,278809,2015-08-04 08:32:45,60
Shy_virgin1,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:08:41,['CHECRY'],"PR| |GOD FIRST|🙏 |MEDIA PUBLICIST||  ||CONTENT CREATOR|| FOOTBALL LOVER|| 😍  

Tweet Addict 💉💊🌠","Abuja, Nigeria",12401,30289,2019-03-04 09:00:46,120
guardian_sport,Goal! Chelsea 3-0 Crystal Palace (Jorginho 77 pen)  https://t.co/t1FaiAT8h3,2020-10-03 13:08:38,[],"Sport news, comment, video and more from the @Guardian. For all your US sports needs, follow @GdnUSsports, and Australian sport @GdnAusSport. IG: guardian_sport",London,850585,216651,2009-06-11 14:55:04,1
Arhin_PKG,"Goal - CHILWELL
Assist - none

Chelsea 1-0 Crystal Palace (50 mins)

#FPL #CHECRY",2020-10-03 13:08:38,"['FPL', 'CHECRY']",On God!!!,,1247,13595,2017-08-16 09:08:35,191
jesscocoo,Damn beating Crystal palace ain’t for everyone,2020-10-03 13:08:37,[],don’t ask me shit you can’t google ! @chelseafc,"Sheffield, England",1324,38985,2011-09-05 13:15:43,2
ManLikeK_,Good win for Chelsea. Palace dreadful,2020-10-03 13:08:37,[],#MakeArsenalGreatAgain,everywhere,240,161053,2019-08-13 21:29:35,0
ProfAduks,It's over for Crystal palace,2020-10-03 13:08:37,[],😍,"Lagos, Nigeria",2044,55155,2018-02-07 23:56:03,0
BoatengDuodu,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:37,[],I luv soccer,"Takoradi, Ghana",727,22647,2013-09-01 12:33:43,1329
sami_m003,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:37,[],,"London, England",30,6110,2019-01-30 22:51:35,1329
FaceOfAT,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:08:37,['CHECRY'],The Face Of Arewa Twitter is An avenue to showcase beauty and our loving Northern culture. we Crown Prince's and Princess's every Friday. tag your TGIF!,Nearby,12803,18516,2011-05-30 09:21:47,120
PhilixLfc,@firstclassjerry Na crystal palace fit am. There's nothing at stake there,2020-10-03 13:08:36,[],"I Live, I Learn. #YNWA", Lagos,967,28312,2011-03-17 11:46:43,0
Tobiloba_O,"@MrNomso Bros, against Crystal Palace? Abeg.",2020-10-03 13:08:36,[],"All u need to know-- Christian, Web Designer, Social Media Specialist, PR, Content Creator, Business Intelligence, Romance Expert","Lagos, Nigeria",3942,225838,2009-10-21 17:29:41,0
Miss_umeh,Eya crystal palace 😄,2020-10-03 13:08:35,[],"There's no another me! I'm unique Deu28:13 🙏|Fashion designer|
📧alexandraumeh@gmail.com Instagram: @thealexaclothing 👗 Twitter: @AlexaClothing","lagos, Nigeria",1689,67955,2011-09-30 13:06:28,0
No_Limits_Nick,I low key wanted the Crystal Palace upset. But I digress.,2020-10-03 13:08:35,[],DevOps Engineer l CEO of No Limits Integrations | Investor | 🇧🇸 🇭🇹 | I don’t give financial advice. I just talk to myself on here ya dig. #blacktechtwitter,There’s no ceilings here,602,37854,2009-04-17 21:28:21,0
AtvanOnline,"Issa Wrap, Chelsea 3:0 Crystal Palace. 
#CHECRY",2020-10-03 13:08:34,['CHECRY'],BeehiveBreed| MeekMill | Online Rat| Wizkid |Yemi Alade |Scorpio| Melanin| Chelsea| Jesus Follower,,1516,13764,2013-06-09 21:37:52,1
PMatsekane,"GOAL: Chelsea 3 - 0 Crystal Palace. Jorginho converts from the spot-kick. #CHECRY 

⚽🔵🦅",2020-10-03 13:08:33,['CHECRY'],Its the little moments that matter; Chelsea FC; Take each moment as it comes,"Pretoria, South Africa",1544,109139,2015-01-09 10:18:13,6
OgheneElviis,Beating crystal palace isn't for everyone. United can relate,2020-10-03 13:08:32,[],"IG:elviis_____ ,Chelsea FC💙,CR7🤴","Delta, Nigeria",696,18122,2012-07-30 00:48:17,4
RMC_cyril,"Chelsea vs Crystal Palace LIVE HD #CHECRY #Livestream 
*Check pinned tweet for new broadcast if this one goes off.

(Follow @5ve_k_ and turn notifications on for all matches) 

https://t.co/58xeCvOgQn",2020-10-03 13:08:32,"['CHECRY', 'Livestream']","God first | Humble | Outgoing | 
Love family | Love travelling | Chelsea | Libra■■■ 🤗","Polokwane, South Africa",3235,1755,2016-07-19 12:12:59,7
archievax,"Chelsea 0-0 Crystal Palace HT:

Shots: 7-2
Shots on target: 2-0
Possession: 73%-27%
Pass accuracy: 88%-67% https://t.co/q0VtleGXMV",2020-10-03 13:08:32,[],"📩archievax@gmail.com
#Arsenal ⚽️



















Social Media Advicer to @sholzy23","Abuja, Nigeria",10702,137627,2012-09-30 08:54:08,17
Lamzee_,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:30,[],"Just simple.

| Music person | | Sport person |                           #ManUtd fan  F1 fan🏎️",Nigeria,65,405,2020-07-06 16:52:48,5571
gretton123,Penno Chelsea. Palace have been poor. Apsolute poor. Gotta say thiago silva has been great. Jealous he went there. Class.,2020-10-03 13:08:29,[],follow me united fans!! 🔴 #MUFC #REDS  - ⚽️  love playing football aswell. ⚽️ boxing too 🥊,"skegness, lincolnshire.",3681,59491,2010-12-30 19:24:40,0
Gbabyz,Crystal palace just capitulated..smh,2020-10-03 13:08:28,[],God above everything | Code | Bicycles #TeamVeloNos | Music | Lupus Supporter | Take the Risk or Miss the Chance | Querer es poder,Somewhere in Africa.,1300,54658,2009-12-25 13:57:21,0
standardsport,"PENALTY TO CHELSEA!

#CHECRY

https://t.co/EEcYkvqQed",2020-10-03 13:08:27,['CHECRY'],"Latest sports news, views and live football from the @EveningStandard.","London, England",40853,173100,2009-05-06 08:49:47,0
T_yeboahh,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:08:26,[],Christ alone • Dios es el mejor • 🦅,,2734,19282,2018-04-29 23:16:30,587
ShakesNuel,So dx crystal palace team beat Man U 3-1.. Sigh 😪,2020-10-03 13:08:26,[],Open minded....,,128,128,2020-04-19 16:23:32,0
ojharbord,78' GOAL CHELSEA! Jorginho puts it into the bottom corner. 3-0 Chelsea. https://t.co/dbiesYR7LE,2020-10-03 13:08:26,[],Chelsea FC correspondent for https://t.co/wCsmKxTDuE. Views are my own. #cfc #chelsea,London,27983,18882,2009-11-11 17:16:18,1
CuriosidadesPRL,"GOL DO CHELSEA! JORGINHO!

CHELSEA 3-0 CRYSTAL PALACE!",2020-10-03 13:08:25,[],"Sigam: @CuriosidadesEU, @CuriosidadesBRL e @CuriosidadePlus. Tudo sobre futebol inglês. 
Contato: https://t.co/SLnvCdNlge?amp=1",,23214,8027,2020-02-11 00:02:40,11
ahmad1245151,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:25,[],"‏‏‏‏بالنهاية:
عيش لراحة نفسك وأبتعد عن كل شي يؤلم قلبك .",jah fan,119,5692,2016-01-15 20:03:40,5571
CarolRadull,"Goal Update

Chelsea 3-0 Crystal Palace 77' Jorgihno (Penalty) #CHECRY",2020-10-03 13:08:25,['CHECRY'],Sports #JazaStadi #CancerSoldier #COYG Ig @carolradull @RadullLive https://t.co/co8gM50qt8,"Nairobi, Kenya",721463,49760,2011-07-21 17:20:09,2
Goozemahnn,"GOAL! Kurt Zouma scores from Ben Chilwell's cross!

Chelsea 2-0 Crystal Palace #CHECRY https://t.co/xLxRoQHfMn",2020-10-03 13:08:25,['CHECRY'],,,90,2202,2020-05-20 22:10:17,66
WSport66,"PENALTY TO CHELSEA!!

[75']

Chelsea 2-0 C. Palace

#CHECRY",2020-10-03 13:08:23,['CHECRY'],"Football Analysis , News and Statistics⚽Nba and Euroleague🏀",,11,36,2020-10-03 00:03:29,0
whilson_douglas,"live stream  
Chelsea vs Crystal Palace

LIVE Broadcast links ↓
 
Live Broadcast HD ➡️ https://t.co/gKBg1ChBLP
 
Live Broadcast 4K ➡️ https://t.co/gKBg1ChBLP
 
Live Broadcast ➡️ https://t.co/gKBg1ChBLP
   #CHECRY #CFC https://t.co/UJ5ilnyM1k",2020-10-03 13:08:23,[],,EARTH,1065,32308,2017-06-29 17:33:12,1
avfcsarco,@neve1874_ Chelsea to beat Palace,2020-10-03 13:08:23,[],🇮🇹 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Forever is a Very Long Time,,21,1022,2020-06-24 12:16:54,0
ajumobi_james,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:08:22,['CHECRY'],"NF, GGMU, Messi!",......,2235,39578,2019-07-16 10:03:36,220
omolara28430714,"🤔WHO IS A BETTER  GOALKEEPER❓

🔄SHARE for Mendy

❤LIKE for KEPA

Bet live on CHELSEA 🆚️ CRY.PALACE Here👇 https://t.co/NCzKrVNhMd💻📲

Enjoy:
👉HIGHEST Odds
👉Fastest Weekend withdrawal 

#NaijaBet #1gamecutNaijaBetpays #100minimumwithdraw #CHECRY https://t.co/rJ9c1jpU4J",2020-10-03 13:08:22,[],I’m loving and grateful,Lagos,56,96,2020-03-25 20:12:32,1
Sjakktrekk,"🏴󠁧󠁢󠁥󠁮󠁧󠁿 Chelsea [3]-1 C Palace 77’
✅ Chelsea Over 2 Goals 2.12
👊🏻 Chelsea scores 3 - we win
❤️ Like if you took this bet too",2020-10-03 13:08:21,[],💼 Full Time Sports Bettor & Sports Betting Consultant 📈 Serious enquiries to business@sjakktrekk.com 📧 Betting on Norwegian Football with inside info 🇳🇴,,38176,37110,2013-01-31 14:28:40,3
Dope_Template,"Crystal Palace are not good, Man Utd just made them look good.
In as much as man Utd needs players, they need a coach more.
Poch!
Coach not PE teacher!",2020-10-03 13:08:21,[],,Wanderlust,3046,74407,2010-03-26 11:50:26,0
