username,text,tweetcreatedts,hashtags,retweetcount,likecount,acctdesc,location,followers,totaltweets,usercreatedts
LukeMG_17,ARE YOU FOR REAL #MUFC,2020-10-04 15:59:18,['MUFC'],0,0,1999 #GlazersOut #WoodwardOut,Ireland,40,1846,2019-01-26 12:42:32
herbertharriola,"RED CARD: Paul Pogba has been sent off. Man Utd are down to 10 men. #MUNTOT 

⚽🔴⚪",2020-10-04 15:59:18,['MUNTOT'],31,0,"Guatemalteco 🇬🇹 / Italiano 🇮🇹 | Rossonero e Madridista | Ing. Informatico | Amante del calcio, cavalli, viaggiare e concerti | IG: herbertharriola",Guatemala,388,156571,2011-01-25 21:10:49
enzinhao10,"INSTANT RESPONSE!

🔴 #MUFC 1-1 #THFC ⚪ https://t.co/7LdaX5vG1n",2020-10-04 15:59:18,"['MUFC', 'THFC']",1136,0,@OL | @Cavs | @LewisHamilton | @GoSydGo,Monaco,303,50184,2017-03-02 19:34:32
JamieDawson89,"This is fucking amazing, the United capitulation #MUNTOT",2020-10-04 15:59:18,['MUNTOT'],0,0,"Coventry City Fan, Also have love for the Lakers, Patriots, McLaren F1 and good music",Birmingham,556,10944,2011-01-25 22:50:22
UpTArsenal,I am ready to get Popcorn now #MUNTOT #drama,2020-10-04 15:59:18,"['MUNTOT', 'drama']",0,0,"Software Engineer,Photography,Travel freak, Music,Driving enthusiast,Ford lover & owner, f1, Fighter jets. Arsenal only ! 🔴⚪️ 💻 🍺⚽️🎧🚗🧑🏻‍💻🏡",Emirates Stadium 🔴⚪️,220,2414,2010-08-17 08:22:28
abdiwahabmaalim,"Manchester United Defending Against Tottenham. 
#MUNTOT https://t.co/pWyXSFhraP",2020-10-04 15:59:18,['MUNTOT'],0,0,LFC,Nairobi,777,709,2011-05-02 03:00:40
Ib_velli,"ManU can't come out of this game alive.
#MUNTOT https://t.co/gAD09rC4V6",2020-10-04 15:59:18,['MUNTOT'],0,2,Public Affairs Analyst || Advocate Of Good Governance. Interests: Politics || Leadership || Education || International Relations || Football.,Lagos,456,4549,2018-04-23 22:27:31
sosament,Bailly with 2 blocks😭😭😭😭 wtf these man are being rinsed!! #MUNTOT,2020-10-04 15:59:18,['MUNTOT'],0,0,Top 0.7% on OnlyBandz 🇿🇦 🇱🇸 🇷🇼,CT,176,29105,2014-01-13 22:13:49
Gm4nHere,"We’re an absolute mess at the back - shambles!! 🙈🙈🙈
#MUNTOT #mufc #epl",2020-10-04 15:59:18,"['MUNTOT', 'mufc', 'epl']",0,1,✨Man Utd supporter. Tattoo collector. Movie & music lover.✨ #mufc Instagram: itsgaz Snapchat: heresgman #BlackLivesMatter,A place where it ☔,755,33430,2010-06-28 19:52:58
Demigahd1,The drama in this game😂 #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,"ملك بقيادة ملك ال
Awesome Events
Fleetcentric - Geotab
DSTv iROCK Music Festivals
Sempire Enterprises (PTY) Ltd
Herbonic(PTY) Ltd

🤾
DM for enquiries

🇿🇦🇹🇷",,115,2506,2020-04-07 12:51:14
Tosinjemi,"Ndombele for score but Bailly throw hin body, block am! 

#MUFC #GGMU 🔴⚫️ #MUNTOT",2020-10-04 15:59:17,"['MUFC', 'GGMU', 'MUNTOT']",4,0,Sports Analyst | News @BarcaTimes @HagridFCB & @ManUnitedZone | | Writer | | Advocate of Peace | | Also into Graphics and Design | | Follow up for more info 📳,"Lagos, Nigeria",1369,12157,2020-04-16 19:04:22
FcCommentator,RED CARD POGBA!!!!!! #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,We talk real football. Football is my religion. FC Barcelona is my team.,,0,232,2019-05-02 18:25:28
Sana859,RED CARD! Anthony Martial sent off. #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],7,0,"Classical & Popular Novel Aficionado, Television & Sports Enthusiast, @SpursOfficial Fan & Proud South African :)","Durban, South Africa ",214,34989,2010-10-06 15:02:20
wecricket_,"a keaton jennings leave is more convincing than the Man UTD defence. 
#MUNTOT",2020-10-04 15:59:17,['MUNTOT'],2,51,"220k subscribers on YouTube.                         

business: thecricketcoach17@gmail.com","South East, England",8018,13566,2017-02-25 19:05:53
Davidjjevans,@ManUtd why can’t we give tuanzebe a chance alone side @ericbailly24 #MUFC,2020-10-04 15:59:17,['MUFC'],0,0,,pontypool south wales ,69,8367,2010-05-31 21:51:46
bennyrabbani_,Spurs shoud have scored 5 #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,European football fanatic and An Engineering in Telco company. Visca El Barca #YNWA #ForzaJuve,"DKI Jakarta, Indonesia",346,37741,2011-02-25 13:26:05
CrazyPKAY,Spurs Is Really Pressing Us #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,"I Can't Give You A Sure-fire Formula 4 Success,But I Can Give You A Formula 4 Failure:Try 2 Please Everybody All The Time. @KaizerChiefs @ManUtd @CassperNyovest",Klerksdorp / Potchefstroom ,912,18413,2012-08-18 20:17:38
JustKoyana,Eric Bailly has three goal-saving blocks within a space of a minute #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,I think I’m Bruce Wayne but in reality...I’m actually just Chris D'Amico. Urban Warrior 🔴⚪️,Cape Town,1398,20745,2009-06-04 10:00:38
paulhands1,Ohhh god this ain’t gonna be a nice evening 😡 #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,1,Business Unit Manager @universalarches with over 20 years experience in the arched window industry all views are my own,"Saint Helens, England",609,3040,2010-11-05 18:05:14
CSportsFootball,Martial red card #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,Will provide the latest football news on a variety of different teams. Ask your questions via tweet or DM.,"England, United Kingdom",2554,20960,2015-08-16 20:12:26
fungai360,"Hate United, equally hate Tottenham.....but this is just sad from United #MUNTOT",2020-10-04 15:59:17,['MUNTOT'],0,1,The funny guy. That's all you need to know.,Where ever the wind takes me,1040,1359,2012-02-09 10:16:03
ade_adekunle01,Can it get any worse for united? 😂🤣😂#MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,A product of God's Grace || Livin a Private life in a public world || Chelsea FC || Christian || Billionaire in progress || Ambivert ||Data Sci ||Python || 6'4,Lagos Nigeria,1143,20470,2011-06-13 07:56:01
United4Reds,"Wow, this whole thing is gonna be painful. #MUFC",2020-10-04 15:59:17,['MUFC'],2,0,An independent fan channel for all the Manchester United fans across the globe. A forum for everyone to share their opinions and views; unfiltered!,,53,2212,2019-04-29 22:54:11
RobboTaylor,Scenes at Old Trafford!! Red for Martial? #THFC #COYS #Spurs,2020-10-04 15:59:17,"['THFC', 'COYS', 'Spurs']",0,0,Spurs fan...does anything else matter?,"Essex, UK",82,206,2009-09-16 00:53:42
MattWood23,Tottenham could be well decent if they can get Bale firing alongside Son. #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,This right here is my type of party.,Merseyside,348,21032,2009-11-19 00:04:00
KishanU14,Shouldn’t lemela get red too? #mufc,2020-10-04 15:59:17,['mufc'],0,0,"Keeping myself busy scrolling through social media as a Social Media Consultant, #MUFC, food and drink @ieatmywages on IG",England,607,82644,2009-11-23 11:39:47
leamingtonfalpy,"It's the coaching/manager. And will continue to be, whatever players we sign. #mufc",2020-10-04 15:59:17,['mufc'],0,0,L'homme du sport (man of sport),CV31,198,15395,2010-05-08 20:23:13
denicoreeder93,I’d be punching Maguire &amp; Bailly at half time! 😤 #MUFC,2020-10-04 15:59:17,['MUFC'],1,0,,Manchester,190,10387,2012-07-02 18:33:17
Junaid231,What a disgrace. Spurs are about to lay a beat down #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,0,"food
petrolhead
sneakerhead
#GGMU","Cape Town, South Africa",8,335,2010-07-05 03:51:11
NmechangeHandle,"Goal. Son gives Spurs the lead. 1-2.

#MUFC #MUNTOT",2020-10-04 15:59:17,"['MUFC', 'MUNTOT']",1038,0,|| #COYG || Victoria Concordia Crescit || Bros Before Hoes ||,BLOOD GROUP A+,4170,176067,2011-09-03 11:52:11
dami_mastermind,Tottenham Spurs wan kill Manchester United ooo kilode 😂😂 #MUNTOT,2020-10-04 15:59:17,['MUNTOT'],0,2,"I Just Wanna See D Sunshine Tomorrow


Living my life like a mid-wife, I gat 2 deliver

#HalaMadrid

#Music_Lover
#30BG
#DC4Lyf
#Outsider

Eccl 12:1
Phil 4:13",Santiago Bernabéu ,2401,54549,2011-08-24 15:34:58
MonosiEye,#MUNTOT Lamela costing the player a red..surely VAR should look at this,2020-10-04 15:59:17,['MUNTOT'],0,0,Simple Average Kid who's Driven & Self-Encouraged Understands that Life's Greatest Pleasures aren't Bought but they Earned Gunner @Arsenal North Londoner at ♥,Knopjeslaagte,691,26280,2011-10-17 21:17:25
simonpeterk7,"Searching for a response...

@MarcusRashford has hit the post and @MasonGreenwood's shot went just wide of the woodwork.

#MUFC #MUNTOT https://t.co/MfQjVwJqIX",2020-10-04 15:59:16,['MUFC'],197,0,I BELIEVE IN JESUS.,Kampala,416,59338,2017-05-02 01:09:30
scarson_,Game's done. Send Maguire to Roma instead for 15p and keep Smalling. #MUFC,2020-10-04 15:59:16,['MUFC'],0,0,#AnytimeAnywhere #RingTheBell #PhilaUnite #FlyEaglesFly #DOOP #MUFC,Holding The Tide With A Broom,863,158020,2012-08-17 19:35:18
bobby9496,What the fuck just happened 🤷🏾‍♂️ #MUFC,2020-10-04 15:59:16,['MUFC'],0,0,Adopted Guatemala 🇬🇹 - IRISH - Republican - Sinn Féin ✊🏾🇮🇪  - DONEGAL🍀 ⚽ #MUFC Married to the beautiful Vicky! 🇺🇦 я очень люблю тебя ❤️ - #NoPasaran 👊,"Donegal, Ireland",876,18571,2014-03-25 18:29:35
Jose_cholo7918,"finished club.
#MUNTOT",2020-10-04 15:59:16,['MUNTOT'],0,0,02/@Atleti🇪🇸/@ManUtd🏴󠁧󠁢󠁥󠁮󠁧󠁿/@REDSOFFICIAL🇯🇵/@JoseMourinhoTV/@Simeone/@Narumi_fkd/,,29,2237,2020-05-07 18:10:55
shawttynatt,End of discussion #MUNTOT,2020-10-04 15:59:16,['MUNTOT'],4,3,Shawttynatt Media Africa/ @manutd /Founder #ShawttynattFoods/Shawttynatt@gmail.com,Nigeria,73754,272310,2012-01-17 13:58:40
Hairouna92,"1 - Penalty to Man Utd.

🔴 #MUFC 0-0 #THFC ⚪",2020-10-04 15:59:16,"['MUFC', 'THFC']",433,0,"Comedian, actor, millionaire and teacher.","🇻🇨, NW LONDON & WYCOMBE📍",239,22505,2010-05-11 08:51:13
casualgamer_sa,So pumped we didn't sign Reguillon for less than £30m. So pumped. #MUFC,2020-10-04 15:59:16,['MUFC'],0,0,"Privacy Attorney | Twitch Affiliate 🎮 | Views are my own. 

Twitch: https://t.co/vjisHzPEGA

YT: click on my link below to see my videos!",South Africa,253,13324,2011-07-08 15:54:55
DanielCRFC,This games crazy🤣😂 #MUNTOT,2020-10-04 15:59:16,['MUNTOT'],0,0,Glasgow Rangers🇬🇧💙,"Glasgow, Scotland",57,559,2017-07-18 18:26:20
IamMoreshould,"Wow
No 1 striker Martial is out #MUNTOT",2020-10-04 15:59:16,['MUNTOT'],0,0,ALLAH + Football + Barca + Messi + Economist + Entrepreneur = Happiness😁,On Your Device,2382,5928,2014-05-23 09:57:44
ban_amos,At this point I can't get mad anymore #MUNTOT,2020-10-04 15:59:16,['MUNTOT'],0,0,,"Nairobi, Kenya",2087,676,2012-12-03 15:57:30
GBMcrTO,"This is horrendous. We’ve lost the plot. 10 men against this Spurs team, oh god. #MUFC",2020-10-04 15:59:16,['MUFC'],0,0,"Just me. Manchester lad, now in Toronto, couple of stops in London and Madrid on the way #MUFC",,65,989,2020-07-21 23:21:23
AwajiokanOwen,Alex Ferguson must be boiling seeing Tottenham us using his team as tampon 🤣🤣#MUNTOT #MANTOT,2020-10-04 15:59:16,"['MUNTOT', 'MANTOT']",0,0,🇳🇬 🇬🇧,"Asarama, Nigeria & Glasgow, UK",1295,5855,2014-02-28 01:49:01
walkeradam1,Get Martial on......... #mufc,2020-10-04 15:59:16,['mufc'],0,0,"Proud Dad, Football Expert, Lover of Life, Serial Blagger, Movie Fanatic, Aspiring Alcoholic, Man of Winter, Avid Gamer, Music Connoisseur. #Mufc #Fpl",,364,16642,2010-09-03 16:17:36
BehnG77,Utter magic #MUNTOT,2020-10-04 15:59:16,['MUNTOT'],0,0,"A stranger in a strange place. We're not in Liverpool anymore Toto

LFC supporter in the traditional, non jester hat wearing way. 

I voted for Corbyn","Oxted, England",59,6441,2011-04-05 19:39:39
tangeni_frans,"When it rains it pours.
#MUFC",2020-10-04 15:59:15,['MUFC'],0,1,"Just be nice, will you.",Namibia,618,5458,2015-04-22 20:19:17
PerryCurts,Get off mate #MUNTOT,2020-10-04 15:59:15,['MUNTOT'],0,1,Believe what you see not what you hear,,128,2530,2012-12-25 19:06:55
JEBrown1976,WHAT IS GOING ON!!!! #MUNTOT,2020-10-04 15:59:15,['MUNTOT'],0,0,To cool for school,"Southend-on-Sea, England",10,94,2016-01-10 20:20:53
dunta90,The. Game. Is. Gone. Lads. #MUNTOT,2020-10-04 15:59:15,['MUNTOT'],0,0,"Head of Digital @TruTravels Ex-Explorer 🦠, digital marketer, golfer, poker-er, part-time science wannabe, #LFC fanatic, meditator. 100% Irish beef ☘️","Dublin, Ireland",828,20721,2011-04-04 22:50:50
Cinephile_MU,"What the hell just happened...
#mufc",2020-10-04 15:59:15,['mufc'],0,0,1996 - ????,,441,47978,2010-07-08 16:40:53
henry_toye,Alex Telles will sign a five-year contract with #mufc. Fee is €15m plus €3m in add ons #mulive [@David_Ornstein],2020-10-04 15:59:15,"['mufc', 'mulive']",334,0,"Books, Movies, Music and Manchester United...... All in a day's work",Nigeria,342,103524,2010-05-31 22:23:16
Okulo_Jnr,"Goal - FERNANDES
Assist - MARTIAL

Man Utd 1-0 Spurs (2 mins)

#MUNTOT #FPL",2020-10-04 15:59:15,"['MUNTOT', 'FPL']",280,0,Just me,Ogygia,12558,340979,2011-04-10 14:17:48
TheUtdEnd,"De gea playing well.
#MUFC",2020-10-04 15:59:15,['MUFC'],0,5,Welcome to the United End. #MUFC🇾🇪,Old Trafford,6360,1393,2019-05-17 22:24:33
mooseandme1,This is embarrassing Utd. How can you train all week the. Go out and play like this. Absolutely disgusting performance so far. #MUNTOT,2020-10-04 15:59:15,['MUNTOT'],0,0,Black Live Matter,Great Harwood,9114,9587,2015-06-28 11:19:43
putraaldiaa,"red card, keren memang klean #MUNTOT",2020-10-04 15:59:15,['MUNTOT'],0,0,fck idealism,,15,529,2020-02-23 13:42:06
mozammalayub,"This is getting from bad to worse. My word. 
#MUFC",2020-10-04 15:59:14,['MUFC'],1,0,"Accounts Assistant, Full Member Of AAT, Foodie, MUFC ❤️",London,77,18849,2011-08-19 19:52:53
theFIFAapprenti,This game going crazy already. #MUNTOT,2020-10-04 15:59:14,['MUNTOT'],0,0,Twitch Affiliate/ I’m just a Fifa Player let’s have some fun. Best WL record : 23-7. I’m anti-fifa points.,,108,371,2020-04-26 07:35:16
92_vital,We’re against it #MUFC,2020-10-04 15:59:14,['MUFC'],0,0,,,227,6390,2019-10-08 21:42:46
Mwangi_TheOne,martial 🤣🤣🤣🤣#MUNTOT,2020-10-04 15:59:14,['MUNTOT'],0,0,|| @Arsenal 😎 #COYG,"Nairobi, Kenya",1108,1403,2019-06-20 10:02:30
ManUtdMEN,"Red card! #mufc #MUNTOT 
https://t.co/NrGnruSRTy",2020-10-04 15:59:14,"['mufc', 'MUNTOT']",4,37,"Manchester United Football Club news from the Manchester Evening News. We're on Facebook: https://t.co/RYZNdJJhhI
Get our newsletter from https://t.co/wgM2xpXn","Manchester, UK",357848,200731,2009-07-16 10:35:35
hsnyldrm1979,Alex Telles to #mufc is a done deal. The clubs have reached an agreement for €20m. He will have his medical tonight #mulive [@SkySportNewsHD],2020-10-04 15:59:14,"['mufc', 'mulive']",2814,0,"Vişneye çalan koyuca tatlı bir KIRMIZI, içinde turuncudan iz taşıyan tok bir SARI 🔥🔥🔥🔥",,17078,120299,2011-05-17 07:05:32
Jon_Hill7,"Who's a better defender? 

RT - Tommy the donkey

LIKE - Harry Maguire

#MUNTOT https://t.co/8xzxgw5HGn",2020-10-04 15:59:14,['MUNTOT'],563,0,🟢⚪️,Plymouth / Windsor ,426,10239,2011-05-21 17:16:44
sylojon,#MUNTOT Such a lazy team United is. And very poorly coaches by the way.,2020-10-04 15:59:14,['MUNTOT'],0,1,"Existentialist / Misanthropist /
@PremierLeague / @manutd",,143,3995,2014-07-31 22:08:47
FinnWonderland,"PENALTY to Man Utd...

#MUNTOT",2020-10-04 15:59:14,['MUNTOT'],710,0,"Official Twitter account I'm áril.. Even If Things are painful and tough, people should appreciate what it means to be Alive at All. #BeYourself",,2,381151,2017-07-14 06:12:32
twakson,Red card lol united is a joke  #MUNTOT,2020-10-04 15:59:14,['MUNTOT'],0,0,Just here minding my business 👉🤦‍♂️👈|Chemical Engineer|♐️ Sagittarius,"Abuja, Nigeria",818,8781,2009-06-19 13:27:59
SamiScripts,"It's time to build Son Heung-min a statue 🙏

#MUNTOT https://t.co/cCabZ3z7Uc",2020-10-04 15:59:14,['MUNTOT'],162,0,"Don't take my tweets personal 🙌 DM for Bio only 🧐
Diehard @liverpoolfc #sadiomane @MoSalah @LFC #IndependenceNight2020","Kampala, Uganda",6014,30448,2020-07-29 09:34:15
S1NGHN3SS,Omg that cannot be a red card?! #MUNTOT,2020-10-04 15:59:14,['MUNTOT'],0,0,You're an Instagram model? I'm a Twitter author.,"London, England",48969,45373,2013-07-29 17:34:25
numbnuts666,"Just when it couldn't get any worse, it does #MUFC #MUNTOT",2020-10-04 15:59:14,"['MUFC', 'MUNTOT']",0,0,#MUFC fan. TV and movie addict. #StarWars fan 🏴󠁧󠁢󠁳󠁣󠁴󠁿,Aberdeen,1933,4811,2009-04-18 11:31:37
bored_sports,"Bayern could easily score 10 against that United defence.

#MUNTOT",2020-10-04 15:59:13,['MUNTOT'],0,0,"A bored sports man couch tweeting about sports. you might want to learn so French (just in case, PSG)
#TeamCouch #TeamPSG",,1,43,2020-10-02 15:05:19
orjden2,Red card? #MUFC,2020-10-04 15:59:13,['MUFC'],0,0,"24 yo, Glory glory🇾🇪",Norway,128,17547,2012-06-01 18:38:24
2dare_2do,Martial sent off!!! Looks to have done something to Lamela #THFC #MUFC,2020-10-04 15:59:13,"['THFC', 'MUFC']",3,0,i hATe f̶o̶o̶t̶b̶a̶l̶l̶ sPurS ᵕ᷄≀ ̠˘᷅ 💭⚽️ •••••🏆,"Tottenham, London",108,5470,2013-11-04 12:27:25
LukeDeanAVFC,What is going on 😲😲😲😲🤷🏻‍♂️😂😂😂 #MUNTOT,2020-10-04 15:59:13,['MUNTOT'],0,0,"You're that, Once in a lifetime dream come true 💕.                     AVFC⚽ / Fishing 🎣","Birmingham, England",124,1937,2019-10-01 18:50:51
Faisal_Kassim52,Is there a team on earth with a worse deffence than @ManUtd? This match is sickening! #MUNTOT,2020-10-04 15:59:13,['MUNTOT'],0,0,"A son,
brother,
father,
TV personality,
writer, 
volunteer, 
MC &
Manager at Jamia Training Institute","Nairobi, Kenya",755,898,2018-03-31 18:34:59
rt_Premier,"live: 27 min
#MUNTOT 
#ManchesterUnited  1-2 #Tottenham 
Miguel Bruno #Fernandes 2 min
Tanguy #Ndombele 4 min
Heung-Min #Son 6 min
#PremierLeague 
https://t.co/vFHagASdGl",2020-10-04 15:59:13,"['MUNTOT', 'ManchesterUnited', 'Tottenham', 'Fernandes', 'Ndombele', 'Son', 'PremierLeague']",0,0,#EPL,North london - coyg,1349,18168,2011-06-30 08:32:31
diegiedo_boaH,Martial out  #MUNTOT pls 💁‍♂️,2020-10-04 15:59:13,['MUNTOT'],0,0,"If you’re going to seek revenge, dig two graves.🤽‍♀️ Accountant✍️ IndustrialElectrical💡CFC⚽️",♣ Z I O N ♦,965,21401,2012-01-13 20:52:16
Nimzz07,"I honestly can’t watch anymore, spurs could be 5 goals up already and it’s only 30 mins gone #MUNTOT",2020-10-04 15:59:13,['MUNTOT'],0,0,,"London, England",72,997,2010-08-20 14:25:59
r96sk,"Martial...
Clown day at Old Trafford, embarrassing stuff.
#MUFC",2020-10-04 15:59:13,['MUFC'],0,0,,"London, ENG",191,52378,2014-01-01 11:34:44
simonpeterk7,"Catch him if you can! ⚡

#MUFC's defence is caught napping as Son races in to give #THFC the lead! 🏁

📺 Watch on Sky Sports PL
📱 Follow #MUNTOT here: https://t.co/YX6CxdoSMm
📲 Download the @SkySports app! https://t.co/xFjQQvj8xB",2020-10-04 15:59:13,"['MUFC', 'THFC']",57,0,I BELIEVE IN JESUS.,Kampala,416,59338,2017-05-02 01:09:30
united_focus_,"Searching for a response...

@MarcusRashford has hit the post and @MasonGreenwood's shot went just wide of the woodwork.

#MUFC #MUNTOT https://t.co/MfQjVwJqIX",2020-10-04 15:59:13,['MUFC'],197,0,FOLLOW ME for a QUICK FOLLOW BACK. #MUFC #MUFC_News #MUFC_Updates #1DDrive #TEAMSTALLION #1FIRST #TEAMSIL #MGWV #1EmpireDrive #TM_RUBY #GlazersOut #WoodwardOut,🌍🌎🌏,5867,49309,2019-04-02 16:34:05
greengoldunited,"The more I watch this game the more I’m realizing that Harry Maguire is actually the perfect captain for THIS @ManUtd team.

Too slow and just generally a bit shit.

This fucking hurts to watch. #MUNTOT #WoodwardOut #GlazersOut #Freefall #SaveOurClub #LUHG #SIGNSOMEBODY",2020-10-04 15:59:13,"['MUNTOT', 'WoodwardOut', 'GlazersOut', 'Freefall', 'SaveOurClub', 'LUHG', 'SIGNSOMEBODY']",0,0,"OLE IN, WOODWARD OUT - No plastic fans or toxic behavior allowed. Nothing but honest opinions about, and undying support for, this great club. #JAM2020","London, England",109,1236,2009-06-29 14:24:18
Habiola17750376,"Manchester United and Porto have reached an agreement for Alex Telles! Last details to be sorted on next few hours, then medicals and official announcement. Here we go soon! 🔴 #MUFC #transfers",2020-10-04 15:59:13,[],23274,0,Easy going  person,Nigeria,991,45188,2018-01-29 22:58:46
Feemie_r,Wtf red card?!! #mufc,2020-10-04 15:59:13,['mufc'],0,0,London | #manu #mufc,,1666,5899,2012-10-20 19:12:00
StanRelaeng,Tottenham is really trying to bury united #MUNTOT,2020-10-04 15:59:12,['MUNTOT'],0,0,Red piller,Botswana,650,11042,2010-09-01 10:17:41
Reubenjnr5,"#MUNTOT
retweet for Maguire
like for stone 😁 https://t.co/WqeHK0K7yQ",2020-10-04 15:59:12,['MUNTOT'],2,48,,,717,762,2019-01-02 09:05:31
Helias09,"Wow, just wow. Now this... what does one say? #MUNTOT",2020-10-04 15:59:12,['MUNTOT'],0,1,"MUFC, Design and Tech, Football and non stop complaining. Sydney girl, living in Amsterdam. #YANITED","Amsterdam, The Netherlands",132,2386,2019-12-05 07:51:00
marvind99,"Nope. We've got that wrong. It's Anthony Martial. #MUNTOT 

⚽🔴⚪",2020-10-04 15:59:12,['MUNTOT'],14,0,Insta: marvind4 // what’s life without enjoyment,,583,16768,2011-05-21 08:42:53
PimpOzil,THIS GAME IS MAD #MUNTOT,2020-10-04 15:59:12,['MUNTOT'],0,0,Arteta’s Red & White Army #Arsenal,The Emirates,454,74101,2011-03-26 23:09:21
